Fiscal_Year,Service,Fund_Type,Fund,Item_Category,Description,Approved_Amount
2019,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Housing Initiative,Miscellaneous,Loan Payments,2375000
2019,Montgomery County Public Schools,TAX SUPPORTED,Current Fund MCPS,Intergovernmental,Students With Disabilities,58955879
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Other Licenses/Permits,408530
2019,Montgomery College,NON-TAX SUPPORTED,Auxiliary Fund,Charges for Services,Sales,1364000
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Taxes,Recordation Tax,53406507
2019,Montgomery County Government,TAX SUPPORTED,Bethesda Urban District,Charges for Services,Optional Method Development,189877
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,State Jury Fee Reimbursement,404245
2019,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Grading/Storm Drains/Paving/Driveway Permits,3697727
2019,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Charges for Services,Systems Benefit Charge,66493614
2019,Montgomery College,TAX SUPPORTED,Current Fund MC,Charges for Services,Tuition and Fees: Current Fund,76892107
2019,Montgomery County Government,NON-TAX SUPPORTED,Wheaton Parking,Fines & Forfeitures,Parking Fines,476000
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,State Grants,650000
2019,Montgomery County Government,NON-TAX SUPPORTED,Bethesda Parking,Miscellaneous,Miscellaneous Revenues,284120
2019,Montgomery County Government,TAX SUPPORTED,Silver Spring Urban District,Charges for Services,Optional Method Development,150000
2019,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Sign Permits,191776
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Other Intergovernmental,70000
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Fines & Forfeitures,Photo Red Light Citations,4600000
2019,Montgomery County Government,NON-TAX SUPPORTED,Liquor,Licenses & Permits,Liquor Licenses,1570197
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Miscellaneous,Property Rentals,3850000
2019,Montgomery County Government,NON-TAX SUPPORTED,Wheaton Parking,Charges for Services,Parking Fees,725000
2019,Montgomery County Government,TAX SUPPORTED,Fire,Taxes,Property Tax,215654797
2019,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Mechanical Construction Permit,1569836
2019,Montgomery County Government,NON-TAX SUPPORTED,Grant Fund,Miscellaneous,Loan Payments,1000000
2019,M-NCPPC,NON-TAX SUPPORTED,Enterprise Fund,Charges for Services,Rentals,3311177
2019,Montgomery County Government,TAX SUPPORTED,Recreation,Taxes,Property Tax,44785455
2019,M-NCPPC,TAX SUPPORTED,Park Fund,Investment Income,Investment Income,40000
2019,M-NCPPC,NON-TAX SUPPORTED,Prop Mgmt MNCPPC,Charges for Services,Rental Income,1424800
2019,Montgomery County Government,NON-TAX SUPPORTED,Grant Fund,Intergovernmental,HB669 Social Services State Reimbursement,37731200
2019,Montgomery County Government,TAX SUPPORTED,Mass Transit,Intergovernmental,State Aid: Ride On,39628000
2019,Montgomery County Public Schools,NON-TAX SUPPORTED,Grant Fund MCPS,Intergovernmental,Private Grants,6731204
2019,Debt Service,TAX SUPPORTED,Debt Service,Intergovernmental,Federal Grants,5359380
2019,Montgomery County Government,NON-TAX SUPPORTED,Cable TV,Charges for Services,Gaithersburg PEG Contribution,165301
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,State Aid: Police Protection,14180847
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Sheriff Fees,1200000
2019,Montgomery County Government,TAX SUPPORTED,Recreation,Charges for Services,Facility Rental Fees,794600
2019,Montgomery County Public Schools,TAX SUPPORTED,Current Fund MCPS,Intergovernmental,Thornton Legislation,215138780
2019,M-NCPPC,TAX SUPPORTED,Administration Fund,Charges for Services,User Fees,204200
2019,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Investment Income,Investment Income,776730
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,State Aid: Highway User,3764808
2019,Montgomery County Government,NON-TAX SUPPORTED,Liquor,Licenses & Permits,Other Licenses/Permits,156000
2019,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Stormwater Mgmt and Water Quality Plan Fee,284702
2019,Montgomery County Government,TAX SUPPORTED,Mass Transit,Charges for Services,Ride On Fare Revenue,21708654
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Facility Rental Fees,11000
2019,Montgomery County Government,NON-TAX SUPPORTED,Community Use of Public Facilities,Investment Income,Investment Income,108083
2019,Montgomery County Public Schools,NON-TAX SUPPORTED,Grant Fund MCPS,Intergovernmental,State Grants,1032967
2019,M-NCPPC,TAX SUPPORTED,Administration Fund,Intergovernmental,Intergovernmental,391700
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Fines & Forfeitures,Parking Fines,10500
2019,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Charges for Services,Other Charges/Fees,221800
2019,Montgomery County Government,TAX SUPPORTED,Mass Transit,Charges for Services,Bus Advertising,1007900
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Investment Income,Investment Income,89190
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Zoning Fees,65000
2019,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Charges for Services,Sale of Recycled Materials,3451832
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Tree Canopy,500000
2019,M-NCPPC,TAX SUPPORTED,Administration Fund,Taxes,Property Tax,27343775
2019,Montgomery County Government,TAX SUPPORTED,Mass Transit,Licenses & Permits,Taxi Licensing Fees,425000
2019,Montgomery County Government,NON-TAX SUPPORTED,Grant Fund,Intergovernmental,Other Intergovernmental,338842
2019,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Housing Initiative,Taxes,MHI Transfer Tax,225000
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Miscellaneous,Miscellaneous Revenues,1497130
2019,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Other Licenses/Permits,594672
2019,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Charges for Services,Automation Enhancement Fee,95437
2019,M-NCPPC,NON-TAX SUPPORTED,Enterprise Fund,Miscellaneous,Non-Operating Revenues/Interest,110000
2019,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Building Permits,22106143
2019,Montgomery County Government,NON-TAX SUPPORTED,Bethesda Parking,Fines & Forfeitures,Parking Fines,3250000
2019,Montgomery County Public Schools,NON-TAX SUPPORTED,Food Service Fund,Charges for Services,Sale of Meals,17078839
2019,Montgomery County Government,NON-TAX SUPPORTED,Liquor,Charges for Services,Other Charges/Fees,8740
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Miscellaneous,Loan Payments,35000
2019,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Special Exception Fee,230549
2019,Montgomery County Public Schools,TAX SUPPORTED,Current Fund MCPS,Intergovernmental,Basic State Aid,351744825
2019,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Well and Septic,274308
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Marriage Licenses,67000
2019,Montgomery County Government,TAX SUPPORTED,Revenue Stabilization,Investment Income,Investment Income,3518080
2019,Montgomery County Government,NON-TAX SUPPORTED,Cable TV,Charges for Services,PEG Capital Revenue,6644000
2019,Debt Service,TAX SUPPORTED,Debt Service,Miscellaneous,Miscellaneous Revenues,5637100
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Fines & Forfeitures,Parking Fines,1300000
2019,Montgomery County Government,NON-TAX SUPPORTED,Silver Spring Parking,Investment Income,Investment Income,282980
2019,Montgomery College,NON-TAX SUPPORTED,Major Facilities Reserve Fund,Investment Income,Interest Income,110000
2019,Montgomery County Public Schools,TAX SUPPORTED,Current Fund MCPS,Intergovernmental,Federal Revenues,150000
2019,Montgomery College,NON-TAX SUPPORTED,Workforce Development & Continuing Ed,Miscellaneous,Other Revenues; Miscellaneous,80000
2019,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Intergovernmental,Other Intergovernmental,5000
2019,Montgomery County Government,NON-TAX SUPPORTED,Bethesda Parking,Miscellaneous,Property Rentals,75000
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Taxes,E-Cigarette Tax,652071
2019,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Housing Initiative,Miscellaneous,Miscellaneous Revenues,75006
2019,M-NCPPC,TAX SUPPORTED,Park Fund,Intergovernmental,Intergovernmental,3344909
2019,Montgomery College,NON-TAX SUPPORTED,Workforce Development & Continuing Ed,Miscellaneous,Other Revenues: Interest,20000
2019,Montgomery County Government,NON-TAX SUPPORTED,Wheaton Parking,Investment Income,Investment Income,13980
2019,M-NCPPC,TAX SUPPORTED,Park Fund,Miscellaneous,Miscellaneous,117100
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,State Reimbursement: Library Staff Retirement,3194819
2019,M-NCPPC,NON-TAX SUPPORTED,Enterprise Fund,Miscellaneous,Miscellaneous,711225
2019,Montgomery County Government,TAX SUPPORTED,Bethesda Urban District,Taxes,Property Tax,717614
2019,M-NCPPC,NON-TAX SUPPORTED,Special Revenue Funds,Intergovernmental,Intergovernmental,360000
2019,Montgomery County Government,NON-TAX SUPPORTED,Cable TV,Charges for Services,PEG Operating Revenue,4013296
2019,Montgomery County Public Schools,TAX SUPPORTED,Current Fund MCPS,Intergovernmental,Transportation,43244528
2019,Montgomery County Public Schools,NON-TAX SUPPORTED,Food Service Fund,Intergovernmental,State Food,2229567
2019,Montgomery County Government,TAX SUPPORTED,Silver Spring Urban District,Taxes,Property Tax,931139
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Parking Fees,290000
2019,Montgomery County Government,TAX SUPPORTED,Mass Transit,Intergovernmental,State Aid: Damascus Fixed Route,309950
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Other Charges/Fees,3730850
2019,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Housing Initiative,Miscellaneous,Commitment Fee,200000
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Residential Parking Permits,24000
2019,Debt Service,TAX SUPPORTED,Debt Service,Intergovernmental,Premium on General Obligation Bonds,20724940
2019,Montgomery College,TAX SUPPORTED,Current Fund MC,Miscellaneous,Current Fund: Other Revenue,1459000
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Care of Federal/State Prisoners,1160000
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Hazardous Materials Permits,865000
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Illegal Alien Inmate Reimbursement,600000
2019,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Miscellaneous,Miscellaneous Revenues,25000
2019,Montgomery College,NON-TAX SUPPORTED,Auxiliary Fund,Miscellaneous,Auxiliary Fund: Interest Income,5000
2019,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Collection,Investment Income,Investment Income,49300
2019,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Electrical Permits and Licenses,4534810
2019,Montgomery County Government,NON-TAX SUPPORTED,Liquor,Investment Income,Investment Income,183160
2019,Montgomery County Government,NON-TAX SUPPORTED,Water Quality Protection,Charges for Services,Other Charges/Fees,50000
2019,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Housing Initiative,Miscellaneous,Other Financing Sources,56750
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Nursing Home Reimbursement,350000
2019,Montgomery College,NON-TAX SUPPORTED,Workforce Development & Continuing Ed,Charges for Services,Tuition and Fees: Continuing Education,10700000
2019,M-NCPPC,NON-TAX SUPPORTED,Special Revenue Funds,Charges for Services,Service Charges,3167430
2019,M-NCPPC,NON-TAX SUPPORTED,Enterprise Fund,Charges for Services,Merchandise Sales,755600
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Other Charges/Fees,55000
2019,Montgomery College,NON-TAX SUPPORTED,Endowment Fund,Miscellaneous,Interest,7250
2019,Montgomery College,NON-TAX SUPPORTED,Workforce Development & Continuing Ed,Intergovernmental,State Aid,7336869
2019,Montgomery County Government,NON-TAX SUPPORTED,Bethesda Parking,Investment Income,Investment Income,173490
2019,Montgomery College,TAX SUPPORTED,Current Fund MC,Intergovernmental,Fed. State & Priv. Gifts & Grants,325000
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Health Inspections: Swimming Pools,566250
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Taxes,Hotel/Motel Tax,22235992
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Emergency 911,7000000
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Board of Appeals Fees,173413
2019,Montgomery County Government,NON-TAX SUPPORTED,Grant Fund,Intergovernmental,State Grants,20000000
2019,Montgomery County Government,TAX SUPPORTED,Mass Transit,Fines & Forfeitures,Parking Fines,405000
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,New Home Builder's License,139500
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Taxes,Property Tax,1322969280
2019,Montgomery County Government,NON-TAX SUPPORTED,Leaf Vacuuming,Investment Income,Investment Income,20750
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Discovery Materials,7000
2019,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Licenses & Permits,Occupancy Permits,603695
2019,Montgomery County Government,TAX SUPPORTED,Recreation,Miscellaneous,Miscellaneous Revenues,84365
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Substance Abusers Intervention Program (IPSA),74000
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Clerk of the Court Business Licenses,215000
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Traffic Signals Maintenance,994000
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Other Intergovernmental,8477492
2019,Montgomery County Government,TAX SUPPORTED,Mass Transit,Charges for Services,Parking Fees,661385
2019,Montgomery County Government,NON-TAX SUPPORTED,Community Use of Public Facilities,Charges for Services,Facility Rental Fees,11512996
2019,Montgomery College,NON-TAX SUPPORTED,Transportation Fund,Charges for Services,Student Fees,3380217
2019,Montgomery County Public Schools,NON-TAX SUPPORTED,Real Estate Fund,Miscellaneous,Real Estate Fund,3952935
2019,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Housing Initiative,Taxes,Recordation Tax,14246142
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Library Fees,20000
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Indirect Costs: Grants,1200000
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Medicaid/Medicare Reimbursement,2341220
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Health and Human Services Fees,1100000
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,Core Health Services Funding,4554327
2019,Montgomery County Government,NON-TAX SUPPORTED,Bethesda Parking,Charges for Services,Parking Fees,15555081
2019,Montgomery County Government,NON-TAX SUPPORTED,Silver Spring Parking,Charges for Services,Parking Fees,10663333
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Home Confinement Fees,30000
2019,Montgomery College,TAX SUPPORTED,Current Fund MC,Intergovernmental,State Aid,36589976
2019,M-NCPPC,NON-TAX SUPPORTED,Special Revenue Funds,Miscellaneous,Miscellaneous,149900
2019,Montgomery County Public Schools,NON-TAX SUPPORTED,Field Trip Fund,Charges for Services,Field Trip Fees,2530246
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Miscellaneous,Vehicle/Bike Auction Proceeds,900000
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Alternative Community Services,385000
2019,Montgomery County Public Schools,NON-TAX SUPPORTED,Grant Fund MCPS,Intergovernmental,Federal Grants,75964327
2019,Montgomery County Government,TAX SUPPORTED,Economic Development Fund,Miscellaneous,Loan Payments,134438
2019,Montgomery County Government,NON-TAX SUPPORTED,Montgomery Housing Initiative,Charges for Services,Asset Management Fee,70200
2019,Montgomery County Government,NON-TAX SUPPORTED,Water Quality Protection,Taxes,Bag Tax,2471921
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Miscellaneous,Conference Center - Rental Income,319100
2019,M-NCPPC,TAX SUPPORTED,Park Fund,Investment Income,Investment Income: CIP,25000
2019,Montgomery College,NON-TAX SUPPORTED,Auxiliary Fund,Miscellaneous,Other Revenues: Miscellaneous,865220
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Charges for Services,Subdivision Plan Review,300000
2019,M-NCPPC,NON-TAX SUPPORTED,Prop Mgmt MNCPPC,Investment Income,Investment Income,8000
2019,Montgomery County Government,TAX SUPPORTED,Mass Transit,Taxes,Property Tax,100841399
2019,Montgomery County Government,NON-TAX SUPPORTED,Grant Fund,Intergovernmental,Federal Grants,32526092
2019,Montgomery County Government,TAX SUPPORTED,Fire,Charges for Services,EMS Reimbursement-Ambulance Fee,19500000
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Taxes,Real Property Transfer Tax,109540000
2019,M-NCPPC,TAX SUPPORTED,Park Fund,Charges for Services,Facility User Fees,2947100
2019,Montgomery County Government,NON-TAX SUPPORTED,Solid Waste Disposal,Charges for Services,Solid Waste Disposal Fees/Operating Revenues,27433357
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,EEOC Reimbursement,55000
2019,Montgomery County Government,TAX SUPPORTED,Mass Transit,Investment Income,Investment Income,551830
2019,Montgomery County Government,NON-TAX SUPPORTED,Water Quality Protection,Taxes,Water Quality Protection Charge,37415935
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Miscellaneous,Miscellaneous Revenues,3482228
2019,M-NCPPC,NON-TAX SUPPORTED,Grant Fund MNCPPC,Intergovernmental,Park Fund Grants,400000
2019,Montgomery County Government,NON-TAX SUPPORTED,Liquor,Fines & Forfeitures,Other Fines/Forfeitures,220560
2019,Montgomery County Government,NON-TAX SUPPORTED,Liquor,Miscellaneous,Liquor Sales,89558487
2019,Montgomery County Government,NON-TAX SUPPORTED,Permitting Services,Charges for Services,Other Charges/Fees,1244027
2019,Montgomery County Government,TAX SUPPORTED,County General Fund,Intergovernmental,State Reimbursement: Library Operations,3236000
